Designator,Mid X,Mid Y,Layer,Rotation
D110,113.986103mm,67.94949mm,Top,180.0
D109,118.103103mm,68.08888999999999mm,Top,180.0
D202,117.450003mm,53.34999mm,Top,180.0
C143,131.250003mm,52.44999mm,Top,270.0
C144,132.450003mm,52.44999mm,Top,90.0
C145,133.650003mm,52.44999mm,Top,270.0
C146,134.85000300000002mm,52.44999mm,Top,270.0
C112,120.162203mm,61.83529mm,Bottom,0.0
C111,109.850003mm,61.34999mm,Bottom,180.0
C123,135.450003mm,79.97498999999999mm,Bottom,0.0
C105,113.650003mm,73.74999mm,Bottom,0.0
C100,111.07750300000001mm,73.74999mm,Bottom,180.0
C229,131.250003mm,51.544889999999995mm,Bottom,90.0
C224,109.400003mm,50.149989999999995mm,Top,90.0
C223,109.400003mm,54.399989999999995mm,Top,90.0
C222,109.450003mm,51.44999mm,Bottom,270.0
C221,129.672703mm,54.222789999999996mm,Top,270.0
C220,129.565303mm,54.24999mm,Bottom,270.0
C225,125.05010300000001mm,53.299989999999994mm,Bottom,270.0
C226,126.150003mm,53.299989999999994mm,Bottom,270.0
C227,128.300103mm,53.299989999999994mm,Bottom,270.0
C228,129.365303mm,50.544889999999995mm,Bottom,90.0
C212,120.250103mm,53.299989999999994mm,Bottom,270.0
C213,121.350003mm,53.299989999999994mm,Bottom,270.0
C214,123.500103mm,53.299989999999994mm,Bottom,270.0
C215,124.544403mm,50.544889999999995mm,Bottom,90.0
C200,110.650103mm,53.299989999999994mm,Bottom,270.0
C201,111.750003mm,53.299989999999994mm,Bottom,270.0
C202,113.900103mm,53.299989999999994mm,Bottom,270.0
C203,114.940503mm,50.544889999999995mm,Bottom,90.0
C195,122.500103mm,58.74999mm,Bottom,270.0
C190,136.60000300000002mm,58.59999mm,Bottom,270.0
C185,115.400003mm,58.74999mm,Bottom,270.0
C180,129.60000300000002mm,58.74999mm,Bottom,270.0
C142,134.85000300000002mm,49.549989999999994mm,Bottom,270.0
C141,133.650003mm,49.549989999999994mm,Bottom,270.0
C139,132.450103mm,49.549989999999994mm,Bottom,90.0
C135,131.250003mm,49.549989999999994mm,Bottom,270.0
C211,119.758103mm,50.544889999999995mm,Bottom,90.0
C210,118.700103mm,53.299989999999994mm,Bottom,270.0
C209,116.550003mm,53.299989999999994mm,Bottom,270.0
C208,115.450103mm,53.299989999999994mm,Bottom,270.0
C147,126.20000300000001mm,66.95868999999999mm,Bottom,180.0
F101,111.150003mm,80.14719mm,Bottom,90.0
R134,120.400003mm,79.64999mm,Bottom,0.0
R133,120.400003mm,80.82499mm,Bottom,0.0
C133,120.550003mm,77.53998999999999mm,Bottom,90.0
R131,127.346003mm,62.893789999999996mm,Bottom,180.0
R130,120.650103mm,68.07499mm,Bottom,90.0
R129,120.650103mm,64.19999mm,Bottom,90.0
Y101,122.937403mm,75.96739mm,Bottom,0.0
C116,123.878603mm,74.47859mm,Bottom,180.0
C115,122.014403mm,74.49229mm,Bottom,0.0
C124,126.20000300000001mm,65.81889mm,Bottom,0.0
R121,135.875403mm,82.32699mm,Bottom,180.0
R106,129.700003mm,80.47498999999999mm,Bottom,0.0
J101,135.050003mm,81.19999mm,Top,180.0
C108,122.150003mm,77.54999mm,Bottom,0.0
R105,140.099103mm,64.93109mm,Top,0.0
R104,139.899103mm,63.74109mm,Top,0.0
R103,140.099103mm,62.63109mm,Top,0.0
R125,140.650003mm,51.06999mm,Top,270.0
C104,114.500003mm,82.14999mm,Bottom,90.0
C137,121.845203mm,61.858489999999996mm,Top,0.0
D101,111.279503mm,76.39448999999999mm,Bottom,180.0
C101,138.241603mm,82.32699mm,Bottom,180.0
